211 ID #,Section,Name,Address,Phone,Email,Website,Hours of Operation,Details,Fees
,ABUSE OF OLDER ADULTS,Continuing Care Branch,1st Floor T.C. Douglas Building 3475 Albert St Regina SK S4S 6X6,306-787-7239,info@health.gov.sk.ca,,,,
,ABUSE OF OLDER ADULTS,Continuing Care Branch,1st Floor T.C. Douglas Building 3475 Albert St Regina SK S4S 6X6,306-787-1715,info@health.gov.sk.ca,,,"Information on personal care home responsibilities, inspections, and becoming a personal care home licensee",
,ABUSE OF OLDER ADULTS,Saskatoon Crisis Intervention Service,313 Ontario Ave Saskatoon SK S7K 1S3,306-933-6200,info@saskatooncrisis.ca,http://www.saskatooncrisis.ca,24-hour service,Professionally trained staff are available 24 hours a day to respond to: | Seniors in distress | Mental health crisis intervention | Suicide prevention and intervention | Family distress | Child abuse and neglect (after hours) | Substance abuse | Referral for services,
,ABUSE OF OLDER ADULTS,Public Guardian and Trustee of Saskatchewan,#100-1871 Smith St Regina SK S4P 4W4,306-787-5424 Toll Free: 1-877-787-5424 Fax: 306-787-5065,pgt@gov.sk.ca,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/office-of-the-public-guardian-and-trustee,"Mon-Fri 8am-12pm, 1pm-5pm","Dependent adult service | Administers the estates of people who are mentally incompetent, administers affairs of deceased people and holds/administers unclaimed property | Protects the financial interest of minors | Counsel for children | Certificate of no infants | Financial abuse",Vary depending on service required
,ADDICTIONS,Alcoholics Anonymous,Saskatoon Central Office – 5-1006 8th St E Saskatoon SK S7H 0S1,306-665-6727,aasaskatoon@sasktel.net,www.aasaskatoon.org,Mon-Thurs 8am-4:30pm,,
,ADDICTIONS,Brief and Social Detox,201 Ave O S Saskatoon SK S7M 2R6,306-655-4195 Fax: 306-655-4196,,https://mhas.saskatoonhealthregion.ca/,24-hour daily service,"Detox center | First step for recovery, support, and crisis management | A recovery-based program focusing on the management of physical withdrawal symptoms",Valid Saskatchewan Health Card required
,ADDICTIONS,Calder Centre,2003 Arlington Ave Saskatoon SK S7J 2H6,306-655-4500 Fax: 306-655-4545,,https://www.addictionresource.ca/listing/calder-centre/,Mon-Fri 8am-4:30 pm; 24-hour residential services,"Specialized center for treating people with alcoholism and other drug dependencies | Holistic, cross-cultural recovery program for individuals and families | In-patient recovery treatment center for adults and youth with chemical dependency; duration of gender specific program dependent on client needs (generally 4 weeks)",Valid Saskatchewan Health Card required
,ADDICTIONS,Adult Addictions and Mental Health Services,"Suite 156, 122-3rd Avenue N., Saskatoon SK S7K 2H6","306-655-7777 (phone options: #1-children & youth, #2-mental health, #3-addicitons)",info@saskhealthauthority.ca,https://www.saskhealthauthority.ca/your-health/conditions-diseases-services/mental-health-and-addictions,"Mon-Fri 8am-12pm, 1pm-5pm","Addiction Services - Outpatient, Mental Health Services, Addiction Services",Valid Saskatchewan Health Card required
,ADDICTIONS,Metis Addictions Council of Saskatchewan Inc.,213 Ave C S Saskatoon SK S7M 1V3,306-652-8951 Toll Free: 1-877-652-8951 Fax: 306-665-0703,rdsaskatoon@macsi.ca,http://www.macsi.ca,Mon-Fri 8:30am-4:30pm,"A provincial community-based addictions agency with locations in three cities across the province | Offers individualized treatment, inpatient treatment, outpatient services, drop-in day programming and community field work for youth and adultsDrop-In programs and 1-1 counselling is offered in person, over the phone, and on ZOOM | In-Person Day Programs are Mon-Fri from 1-3 pm | Virtual Day Programs are Thur, Fri, and Sat from 11-1 pm | Centers in Saskatoon, Regina, and Prince Albert",Valid Saskatchewan Health Card required
,ADDICTIONS,Saskatoon Methadone Clinic - Methadone Assisted Recovery Services,"1611-20th St W., Saskatoon SK S7M 0Z7",306-655-0480 (20th St) 306-655-4006 (33rd St),info@saskhealthauthority.ca,Mental Health and Addictions | SaskHealthAuthority,"Mon-Fri 8:30am-4:30pm, (Closed at lunch from 12:30 to 1)","OAT program, ongoing support and monitoring, links to community pharmacists, referrals to other social and health support systems",Valid Saskatchewan Health Card required
,ADDICTIONS,Problem Gambling Help Line,,,,http://www.spgh.ca,24-hour service,"Assists individuals with problem gambling through information, short-term counselling, crisis intervention services, referrals, and self-help groups",
,ADDICTIONS,Saskatoon Al-Anon Information Services,"600 – 6th floor, 245 3rd Ave S Saskatoon SK S7K 1M4",306-665-3838,area89pub@gmail.com,http://www.sk-alanon.ca,"Open for in-person visits Tuesdays and Thursdays 11:00am to 3:00pm, or other times by appointment. To arrange for a visit, please leave a message for a callback.",Support and helps families of alcoholics; follows 12-step program | Fellowship of relatives and friends of alcoholics | Call the office for times and places of meetings or check out the website | Accepts anyone troubled by someone's drinking,
,ADDICTIONS,Saskatoon Tribal Council- Community Health Program,200-335 Packham Avenue Saskatoon SK S7N 4S1,306-956-0331,kheidecker@sktc.sk.ca,https://sktc.sk.ca/wellness/community-health/,"Mon-Fri 9am-5pm / Harm Reduction Supply Exchange Program Mon-Fri 9am-5pm, Sat, Sun, and Holidays 11am-5pm","The Community Health Program aims to improve the holistic health of First Nations people and support healthier communities through effective and efficient delivery of programs and services while working collaboratively to enhance community capacity. | The Community Health Programs offers: Communicable Disease Registered Nurse, COVID Nurses, Know Your Status Program, Tuberculosis (TB) Program, Maternal Child Health & FASD Program.",
,ANIMALS/PETS,Furbaby Pet Care,"2902 Jasper Avenue S Saskatoon, Saskatchewan S7J 4L7",306-912-7783,reservations@furbabysk.ca Website: https://furbabysk.ca/,,24/7,Pet care and boarding facility | Certified Canine Massage Therapy | Certified Professional Pet Sitting | Dog walking and Cat Care | Pet Taxi | Grooming,Contact for more information
,ANIMALS/PETS,New Hope Dog Rescue,"Suite 530, 8B-3110 8th Street East, Saskatoon, SK S7H 0W2",,contact@newhoperescue.org,https://www.newhoperescue.org/,,Registered non-profit and foster-based organization rescuing and re-homing dogs in need | Address the overpopulation problem and promote responsible dog ownership. | All dogs who join our program are partnered with loving and dedicated foster parents | Every dog receives proper medical care while with New Hope.,Contact for more information
,ANIMALS/PETS,Playful Paws Kennel & Care,"140 105th Street Saskatoon, SK S7N 1Z3 Phone: 306-978-7278",,reservations@playfulpawskc.ca,https://playfulpawskc.ca/,,Daycare | Grooming | Boarding | Pet Store | Rural location,Contact for more information
,ANIMALS/PETS,Saskatoon Animal Control Agency,,,,,,,
,ANIMALS/PETS,Saskatoon SPCA (Society for the Prevention of Cruelty to Animals),,,,,,,
,ANIMALS/PETS,SCAT Street Cat Rescue Program Inc.,118-2750Faithful Ave Saskatoon SK S7K 6M6,306-955-7228 Fax: 306-955-1037,contact@streetcat.ca,www.streetcat.ca,Mon-Fri 11am-5:30pm,"Street cats and kittens are brought into foster homes for socialization and then are ready for adoption | We also act as a contact point for people who have lost pets, found stray cats or kittens, just need information, or are looking for a new feline friend | Seniors especially welcome to foster - the more fosters, the more kitties we can help",Adoption fees vary; call the office
,ANIMALS/PETS,SOS Prairie Rescue,,,contact@sosprairierescue.com,https://www.sosprairierescue.com/,,"Address urgent need for cat rescue and overpopulation management across Saskatchewan, especially in rural and underserved areas. | With the support of dedicated fosters, veterinary partners, and volunteers, we provide care, love, and second chances to cats who would otherwise be left without hope. | Tackle the root causes of overpopulation through spay/neuter initiatives like Beat-the-Heat, the province’s first Spay-it-Forward program, and Trap-Neuter-Release-Manage (TNRM) services",Contact for more information
